Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,Column2,D,Direct Emitter
HOLCIM (US) INC. DEVIL\S SLIDE PLANT,1004131,Morgan,UT,84050,6055 EAST CROYDON ROAD,Morgan,41.0633,-111.5317,327310,"C,H",Minerals,617117.928,614302.1,1069.25,1746.578,,,,,,,,,,253.1,,,,,616864.828,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
HOLCIM INCORPORATED,1002204,Ada,OK,74820,14500 CR 1550,Pontotoc,34.76754,-96.69652,327310,"C,H",Minerals,375269.23,373970.9,490.75,807.58,,,,,,,,,,965.096,,,,,374304.134,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
HOLCIM TEXAS LIMITED PARTNERSHIP,1002055,Midlothian,TX,76065,1800 DOVE LN.,Ellis,32.512975,-96.971099,327310,"C,H",Minerals,1204423.542,1202045.9,916.25,1461.392,,,,,,,,,320,690.14,,,,,1203733.402,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
HOLLY BEACH COMPRESSOR STATION #701,1003090,Cameron,LA,70631,4918 GULF BEACH HWY,Cameron,29.761302,-93.601405,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,24638.03,18619.6,6008,10.43,,,,,,,,,,16536.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOLLY REFINING & MARKETING COMPANY - WOODS CROSS LLC,1005769,West Bountiful,UT,84087,1070 WEST 500 SOUTH,Davis,40.886022,-111.904759,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",443216.3,437522.4,4487,1206.9,,,,,,,,,,350603.004,,,,,,,,,,,,,,,,,,,92613.296,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOLLY SUGAR CORP DBA SPRECKELS COMPANY,1005864,Brawley,CA,92227,395 WEST KEYSTONE ROAD,Imperial,32.9098,-115.5668,311313,"C,S",Minerals,70862.59,70759,42.5,61.09,,,,,,,,,11.5,57352.09,,,,,,,,,,,,,,13510.5,,,,,,,,,,,,,,,,,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOLLYFRONTIER EL DORADO REFINING LLC,1004291,El Dorado,KS,67042,1401 SOUTH DOUGLAS ROAD,Butler,37.79947,-96.867297,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",1475702.068,1468971,3455.75,3275.318,,,,,,,,,,862919.084,,,,,,,,,,,290000.8,,,,,,,,322782.184,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOLLYFRONTIER TULSA REFINING LLC - EAST,1002028,Tulsa,OK,74107,902 WEST 25TH STREET,Tulsa,36.12266,-96.00048,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",724157.662,720939.7,1208.25,2009.712,,,,,,,,,,613190.386,,,,,,,,,,,,,,,,,,,110967.276,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOLLYFRONTIER TULSA REFINING LLC - WEST,1002026,Tulsa,OK,74107,1700 SOUTH UNION STREET,Tulsa,36.13914,-96.02544,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",522251.446,520147.5,1187,916.946,,,,,,,,,,501106.77,,,,,,,,,,,,,,,,,,,21144.676,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HOLMES MESA CMP STN,1003252,Rulison,CO,81650,,Garfield,39.467984,-107.926867,211111,C,Petroleum and Natural Gas Systems,44973.08,44926.5,21.25,25.33,,,,,,,,,,44973.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
